Time,ax,ay,az
42:00.0,-0.918,0.293,0.23
42:00.0,-0.898,0.297,0.238
42:00.0,-0.891,0.305,0.234
42:00.0,-0.887,0.305,0.223
42:00.0,-0.883,0.305,0.215
42:00.0,-0.887,0.305,0.211
42:00.1,-0.898,0.297,0.207
42:00.1,-0.902,0.301,0.207
42:00.1,-0.906,0.289,0.207
42:00.1,-0.906,0.277,0.203
42:00.1,-0.91,0.277,0.203
42:00.1,-0.914,0.266,0.199
42:00.1,-0.918,0.258,0.188
42:00.1,-0.93,0.25,0.191
42:00.1,-0.934,0.246,0.199
42:00.1,-0.93,0.242,0.203
42:00.2,-0.926,0.246,0.211
42:00.2,-0.922,0.25,0.215
42:00.2,-0.926,0.258,0.219
42:00.2,-0.93,0.266,0.215
42:00.2,-0.93,0.281,0.215
42:00.2,-0.926,0.297,0.211
42:00.2,-0.926,0.305,0.211
42:00.2,-0.922,0.313,0.211
42:00.2,-0.914,0.32,0.211
42:00.2,-0.914,0.324,0.211
42:00.3,-0.914,0.324,0.211
42:00.3,-0.91,0.328,0.211
42:00.3,-0.902,0.328,0.211
42:00.3,-0.902,0.324,0.207
42:00.3,-0.902,0.324,0.199
42:00.3,-0.898,0.324,0.195
42:00.3,-0.895,0.324,0.191
42:00.3,-0.895,0.316,0.195
42:00.3,-0.902,0.313,0.191
42:00.3,-0.906,0.305,0.199
42:00.4,-0.906,0.301,0.195
42:00.4,-0.91,0.297,0.199
42:00.4,-0.91,0.301,0.191
42:00.4,-0.91,0.297,0.195
42:00.4,-0.91,0.297,0.203
42:00.4,-0.914,0.293,0.203
42:00.4,-0.918,0.293,0.207
42:00.4,-0.918,0.293,0.207
42:00.4,-0.922,0.297,0.207
42:00.4,-0.922,0.297,0.211
42:00.5,-0.922,0.293,0.199
42:00.5,-0.926,0.293,0.195
42:00.5,-0.926,0.289,0.199
42:00.5,-0.926,0.289,0.191
42:00.5,-0.926,0.289,0.191
42:00.5,-0.922,0.289,0.203
42:00.5,-0.918,0.289,0.199
42:00.5,-0.918,0.285,0.199
42:00.5,-0.91,0.285,0.203
42:00.5,-0.906,0.289,0.207
42:00.6,-0.902,0.289,0.207
42:00.6,-0.906,0.301,0.203
42:00.6,-0.91,0.309,0.199
42:00.6,-0.91,0.305,0.195
42:00.6,-0.91,0.313,0.195
42:00.6,-0.918,0.313,0.191
42:00.6,-0.93,0.305,0.195
42:00.6,-0.93,0.301,0.199
42:00.6,-0.922,0.297,0.195
42:00.7,-0.918,0.289,0.191
42:00.7,-0.914,0.277,0.195
42:00.7,-0.91,0.27,0.199
42:00.7,-0.91,0.273,0.199
42:00.7,-0.914,0.273,0.199
42:00.7,-0.914,0.281,0.207
42:00.7,-0.91,0.285,0.207
42:00.7,-0.91,0.293,0.207
42:00.7,-0.906,0.297,0.211
42:00.7,-0.91,0.301,0.207
42:00.7,-0.91,0.301,0.207
42:00.8,-0.906,0.301,0.207
42:00.8,-0.906,0.305,0.211
42:00.8,-0.906,0.313,0.203
42:00.8,-0.91,0.309,0.195
42:00.8,-0.91,0.301,0.195
42:00.8,-0.914,0.305,0.191
42:00.8,-0.914,0.305,0.191
42:00.8,-0.922,0.301,0.188
42:00.8,-0.922,0.297,0.199
42:00.8,-0.922,0.293,0.203
42:00.9,-0.918,0.293,0.199
42:00.9,-0.914,0.285,0.207
42:00.9,-0.91,0.289,0.207
42:00.9,-0.91,0.289,0.211
42:00.9,-0.91,0.285,0.207
42:00.9,-0.91,0.289,0.207
42:00.9,-0.914,0.289,0.207
42:00.9,-0.918,0.297,0.211
42:00.9,-0.918,0.301,0.207
42:00.9,-0.914,0.309,0.203
42:01.0,-0.906,0.313,0.195
42:01.0,-0.906,0.316,0.195
42:01.0,-0.906,0.32,0.195
42:01.0,-0.906,0.316,0.199
42:01.0,-0.918,0.316,0.191
42:01.0,-0.914,0.309,0.195
42:01.0,-0.91,0.313,0.191
42:01.0,-0.91,0.309,0.199
42:01.0,-0.91,0.305,0.203
42:01.0,-0.906,0.309,0.207
42:01.1,-0.906,0.313,0.207
42:01.1,-0.906,0.316,0.207
42:01.1,-0.906,0.313,0.207
42:01.1,-0.91,0.313,0.203
42:01.1,-0.91,0.32,0.199
42:01.1,-0.906,0.32,0.199
42:01.1,-0.906,0.316,0.195
42:01.1,-0.906,0.313,0.191
42:01.1,-0.906,0.313,0.199
42:01.1,-0.906,0.305,0.195
42:01.2,-0.91,0.297,0.195
42:01.2,-0.914,0.297,0.199
42:01.2,-0.914,0.293,0.203
42:01.2,-0.914,0.289,0.207
42:01.2,-0.91,0.289,0.219
42:01.2,-0.91,0.285,0.223
42:01.2,-0.914,0.281,0.223
42:01.2,-0.922,0.281,0.23
42:01.2,-0.914,0.285,0.223
42:01.2,-0.914,0.289,0.219
42:01.3,-0.918,0.309,0.215
42:01.3,-0.918,0.32,0.211
42:01.3,-0.914,0.32,0.203
42:01.3,-0.91,0.328,0.195
42:01.3,-0.91,0.332,0.191
42:01.3,-0.902,0.332,0.195
42:01.3,-0.898,0.328,0.195
42:01.3,-0.898,0.328,0.195
42:01.3,-0.898,0.32,0.203
42:01.3,-0.895,0.313,0.207
42:01.4,-0.891,0.309,0.211
42:01.4,-0.898,0.301,0.211
42:01.4,-0.902,0.297,0.219
42:01.4,-0.902,0.281,0.227
42:01.4,-0.906,0.27,0.223
42:01.4,-0.906,0.262,0.223
42:01.4,-0.926,0.266,0.219
42:01.4,-0.934,0.262,0.23
42:01.4,-0.941,0.242,0.223
42:01.4,-0.93,0.234,0.211
42:01.5,-0.914,0.23,0.207
42:01.5,-0.898,0.234,0.211
42:01.5,-0.887,0.246,0.199
42:01.5,-0.887,0.258,0.195
42:01.5,-0.906,0.258,0.191
42:01.5,-0.91,0.273,0.191
42:01.5,-0.906,0.301,0.172
42:01.5,-0.898,0.328,0.152
42:01.5,-0.898,0.355,0.145
42:01.5,-0.898,0.371,0.137
42:01.6,-0.906,0.383,0.137
42:01.6,-0.91,0.395,0.152
42:01.6,-0.914,0.414,0.141
42:01.6,-0.918,0.43,0.133
42:01.6,-0.922,0.434,0.129
42:01.6,-0.93,0.418,0.125
42:01.6,-0.93,0.402,0.137
42:01.6,-0.93,0.387,0.148
42:01.6,-0.926,0.367,0.164
42:01.6,-0.918,0.344,0.176
42:01.7,-0.918,0.328,0.176
42:01.7,-0.918,0.32,0.172
42:01.7,-0.914,0.309,0.168
42:01.7,-0.91,0.297,0.172
42:01.7,-0.898,0.285,0.172
42:01.7,-0.891,0.277,0.168
42:01.7,-0.891,0.27,0.168
42:01.7,-0.898,0.262,0.172
42:01.7,-0.906,0.254,0.172
42:01.7,-0.91,0.254,0.176
42:01.8,-0.91,0.254,0.184
42:01.8,-0.918,0.254,0.191
42:01.8,-0.926,0.246,0.195
42:01.8,-0.93,0.25,0.199
42:01.8,-0.934,0.254,0.199
42:01.8,-0.938,0.266,0.188
42:01.8,-0.938,0.27,0.184
42:01.8,-0.93,0.277,0.18
42:01.8,-0.922,0.289,0.176
42:01.8,-0.918,0.297,0.172
42:01.9,-0.914,0.316,0.172
42:01.9,-0.91,0.324,0.168
42:01.9,-0.914,0.336,0.164
42:01.9,-0.91,0.344,0.164
42:01.9,-0.91,0.344,0.168
42:01.9,-0.91,0.34,0.172
42:01.9,-0.906,0.344,0.176
42:01.9,-0.906,0.34,0.176
42:01.9,-0.906,0.332,0.176
42:01.9,-0.91,0.328,0.176
42:02.0,-0.91,0.324,0.18
42:02.0,-0.91,0.32,0.18
42:02.0,-0.918,0.313,0.18
42:02.0,-0.926,0.301,0.18
42:02.0,-0.938,0.297,0.188
42:02.0,-0.93,0.293,0.191
42:02.0,-0.926,0.293,0.184
42:02.0,-0.922,0.297,0.18
42:02.0,-0.918,0.297,0.176
42:02.0,-0.914,0.293,0.172
42:02.1,-0.914,0.301,0.164
42:02.1,-0.918,0.305,0.168
42:02.1,-0.914,0.309,0.16
42:02.1,-0.914,0.316,0.16
42:02.1,-0.914,0.316,0.164
42:02.1,-0.914,0.316,0.164
42:02.1,-0.91,0.309,0.164
42:02.1,-0.91,0.301,0.164
42:02.1,-0.91,0.297,0.164
42:02.1,-0.914,0.293,0.168
42:02.2,-0.914,0.285,0.172
42:02.2,-0.918,0.277,0.176
42:02.2,-0.914,0.273,0.184
42:02.2,-0.914,0.27,0.188
42:02.2,-0.918,0.266,0.191
42:02.2,-0.922,0.266,0.191
42:02.2,-0.922,0.273,0.188
42:02.2,-0.922,0.285,0.18
42:02.2,-0.922,0.297,0.176
42:02.2,-0.922,0.305,0.176
42:02.3,-0.922,0.309,0.168
42:02.3,-0.914,0.316,0.164
42:02.3,-0.914,0.32,0.16
42:02.3,-0.914,0.328,0.16
42:02.3,-0.91,0.328,0.16
42:02.3,-0.91,0.328,0.16
42:02.3,-0.906,0.32,0.168
42:02.3,-0.906,0.309,0.172
42:02.3,-0.906,0.301,0.176
42:02.3,-0.914,0.293,0.176
42:02.4,-0.914,0.289,0.18
42:02.4,-0.922,0.273,0.176
42:02.4,-0.934,0.27,0.176
42:02.4,-0.938,0.27,0.18
42:02.4,-0.938,0.277,0.176
42:02.4,-0.941,0.285,0.176
42:02.4,-0.934,0.289,0.176
42:02.4,-0.918,0.301,0.18
42:02.4,-0.914,0.305,0.18
42:02.4,-0.91,0.309,0.176
42:02.5,-0.91,0.316,0.172
42:02.5,-0.91,0.316,0.168
42:02.5,-0.914,0.316,0.164
42:02.5,-0.91,0.316,0.168
42:02.5,-0.918,0.313,0.164
42:02.5,-0.914,0.309,0.168
42:02.5,-0.914,0.309,0.156
42:02.5,-0.918,0.297,0.16
42:02.5,-0.918,0.285,0.164
42:02.5,-0.918,0.281,0.172
42:02.6,-0.922,0.281,0.172
42:02.6,-0.918,0.273,0.18
42:02.6,-0.918,0.277,0.18
42:02.6,-0.918,0.277,0.18
42:02.6,-0.922,0.281,0.18
42:02.6,-0.922,0.285,0.18
42:02.6,-0.922,0.289,0.176
42:02.6,-0.922,0.297,0.176
42:02.6,-0.918,0.297,0.176
42:02.6,-0.914,0.305,0.172
42:02.7,-0.914,0.313,0.172
42:02.7,-0.914,0.32,0.176
42:02.7,-0.91,0.324,0.176
42:02.7,-0.902,0.328,0.176
42:02.7,-0.906,0.328,0.176
42:02.7,-0.91,0.324,0.176
42:02.7,-0.91,0.324,0.176
42:02.7,-0.914,0.324,0.172
42:02.7,-0.914,0.316,0.164
42:02.7,-0.922,0.309,0.164
42:02.8,-0.918,0.305,0.16
42:02.8,-0.922,0.297,0.16
42:02.8,-0.926,0.297,0.16
42:02.8,-0.926,0.293,0.16
42:02.8,-0.922,0.293,0.156
42:02.8,-0.918,0.289,0.156
42:02.8,-0.906,0.285,0.164
42:02.8,-0.898,0.289,0.172
42:02.8,-0.898,0.277,0.176
42:02.9,-0.902,0.273,0.184
42:02.9,-0.91,0.27,0.188
42:02.9,-0.918,0.273,0.188
42:02.9,-0.926,0.285,0.184
42:02.9,-0.934,0.289,0.184
42:02.9,-0.938,0.293,0.18
42:02.9,-0.941,0.297,0.176
42:02.9,-0.938,0.309,0.176
42:02.9,-0.938,0.316,0.172
42:02.9,-0.934,0.32,0.168
42:02.9,-0.926,0.324,0.16
42:03.0,-0.926,0.324,0.156
42:03.0,-0.922,0.324,0.16
42:03.0,-0.926,0.324,0.164
42:03.0,-0.918,0.324,0.164
42:03.0,-0.918,0.328,0.164
42:03.0,-0.906,0.32,0.172
42:03.0,-0.906,0.316,0.176
42:03.0,-0.91,0.305,0.176
42:03.0,-0.906,0.301,0.184
42:03.0,-0.906,0.301,0.184
42:03.1,-0.906,0.297,0.191
42:03.1,-0.914,0.293,0.191
42:03.1,-0.918,0.297,0.188
42:03.1,-0.922,0.297,0.18
42:03.1,-0.922,0.293,0.176
42:03.1,-0.922,0.297,0.176
42:03.1,-0.922,0.297,0.172
42:03.1,-0.918,0.297,0.176
42:03.1,-0.914,0.289,0.176
42:03.1,-0.91,0.293,0.18
42:03.2,-0.906,0.293,0.176
42:03.2,-0.906,0.293,0.168
42:03.2,-0.906,0.293,0.168
42:03.2,-0.91,0.289,0.168
42:03.2,-0.906,0.293,0.164
42:03.2,-0.906,0.293,0.168
42:03.2,-0.91,0.297,0.176
42:03.2,-0.914,0.297,0.176
42:03.2,-0.914,0.297,0.176
42:03.2,-0.918,0.297,0.176
42:03.3,-0.922,0.297,0.176
42:03.3,-0.926,0.297,0.176
42:03.3,-0.93,0.293,0.176
42:03.3,-0.934,0.293,0.18
42:03.3,-0.934,0.285,0.18
42:03.3,-0.93,0.285,0.176
42:03.3,-0.922,0.281,0.176
42:03.3,-0.918,0.277,0.18
42:03.3,-0.918,0.27,0.176
42:03.3,-0.918,0.27,0.176
42:03.4,-0.914,0.27,0.176
42:03.4,-0.91,0.273,0.18
42:03.4,-0.914,0.281,0.184
42:03.4,-0.914,0.289,0.18
42:03.4,-0.91,0.305,0.18
42:03.4,-0.91,0.316,0.176
42:03.4,-0.91,0.316,0.176
42:03.4,-0.914,0.32,0.172
42:03.4,-0.918,0.324,0.168
42:03.4,-0.922,0.324,0.172
42:03.5,-0.918,0.316,0.172
42:03.5,-0.914,0.305,0.176
42:03.5,-0.914,0.297,0.176
42:03.5,-0.922,0.297,0.172
42:03.5,-0.93,0.293,0.172
42:03.5,-0.93,0.281,0.176
42:03.5,-0.926,0.273,0.176
42:03.5,-0.922,0.266,0.176
42:03.5,-0.922,0.27,0.176
42:03.6,-0.93,0.273,0.18
42:03.6,-0.93,0.273,0.18
42:03.6,-0.922,0.277,0.184
42:03.6,-0.918,0.285,0.184
42:03.6,-0.914,0.289,0.184
42:03.6,-0.914,0.297,0.18
42:03.6,-0.918,0.297,0.18
42:03.6,-0.914,0.297,0.184
42:03.6,-0.918,0.305,0.184
42:03.6,-0.914,0.305,0.184
42:03.6,-0.918,0.297,0.18
42:03.7,-0.926,0.293,0.18
42:03.7,-0.93,0.293,0.18
42:03.7,-0.93,0.293,0.18
42:03.7,-0.922,0.289,0.176
42:03.7,-0.914,0.281,0.18
42:03.7,-0.914,0.277,0.184
42:03.7,-0.918,0.277,0.18
42:03.7,-0.918,0.277,0.18
42:03.7,-0.926,0.285,0.176
42:03.7,-0.926,0.289,0.176
42:03.8,-0.93,0.297,0.176
42:03.8,-0.922,0.309,0.176
42:03.8,-0.926,0.313,0.176
42:03.8,-0.922,0.313,0.18
42:03.8,-0.918,0.305,0.184
42:03.8,-0.914,0.297,0.188
42:03.8,-0.914,0.293,0.188
42:03.8,-0.918,0.289,0.184
42:03.8,-0.918,0.293,0.184
42:03.8,-0.918,0.285,0.184
42:03.9,-0.922,0.277,0.184
42:03.9,-0.922,0.281,0.184
42:03.9,-0.922,0.285,0.184
42:03.9,-0.926,0.285,0.184
42:03.9,-0.926,0.289,0.184
42:03.9,-0.926,0.289,0.188
42:03.9,-0.918,0.289,0.184
42:03.9,-0.918,0.297,0.18
42:03.9,-0.918,0.301,0.176
42:03.9,-0.918,0.305,0.172
42:04.0,-0.918,0.313,0.172
42:04.0,-0.914,0.313,0.172
42:04.0,-0.91,0.313,0.172
42:04.0,-0.91,0.305,0.172
42:04.0,-0.918,0.297,0.164
42:04.0,-0.914,0.281,0.176
42:04.0,-0.91,0.281,0.176
42:04.0,-0.91,0.27,0.184
42:04.0,-0.91,0.262,0.188
42:04.0,-0.91,0.27,0.184
42:04.1,-0.918,0.27,0.176
42:04.1,-0.926,0.266,0.176
42:04.1,-0.934,0.266,0.176
42:04.1,-0.938,0.27,0.172
42:04.1,-0.938,0.273,0.176
42:04.1,-0.93,0.273,0.18
42:04.1,-0.922,0.281,0.188
42:04.1,-0.918,0.289,0.188
42:04.1,-0.922,0.293,0.184
42:04.1,-0.926,0.297,0.184
42:04.2,-0.926,0.301,0.176
42:04.2,-0.918,0.309,0.176
42:04.2,-0.914,0.316,0.172
42:04.2,-0.914,0.316,0.172
42:04.2,-0.918,0.316,0.168
42:04.2,-0.918,0.309,0.164
42:04.2,-0.918,0.301,0.168
42:04.2,-0.918,0.297,0.168
42:04.2,-0.918,0.293,0.172
42:04.2,-0.914,0.281,0.176
42:04.3,-0.914,0.273,0.18
42:04.3,-0.918,0.266,0.184
42:04.3,-0.922,0.258,0.191
42:04.3,-0.93,0.254,0.191
42:04.3,-0.926,0.254,0.191
42:04.3,-0.926,0.258,0.188
42:04.3,-0.922,0.266,0.184
42:04.3,-0.926,0.281,0.18
42:04.3,-0.93,0.293,0.176
42:04.3,-0.934,0.305,0.172
42:04.4,-0.934,0.316,0.168
42:04.4,-0.93,0.324,0.16
42:04.4,-0.926,0.324,0.16
42:04.4,-0.922,0.32,0.16
42:04.4,-0.918,0.313,0.164
42:04.4,-0.914,0.309,0.16
42:04.4,-0.91,0.293,0.168
42:04.4,-0.91,0.289,0.172
42:04.4,-0.906,0.281,0.176
42:04.4,-0.91,0.277,0.176
42:04.5,-0.918,0.266,0.184
42:04.5,-0.922,0.258,0.188
42:04.5,-0.922,0.258,0.188
42:04.5,-0.918,0.258,0.188
42:04.5,-0.934,0.266,0.184
42:04.5,-0.926,0.27,0.188
42:04.5,-0.926,0.281,0.18
42:04.5,-0.926,0.289,0.176
42:04.5,-0.93,0.301,0.176
42:04.5,-0.93,0.313,0.18
42:04.6,-0.918,0.32,0.176
42:04.6,-0.91,0.324,0.172
42:04.6,-0.91,0.324,0.172
42:04.6,-0.906,0.324,0.172
42:04.6,-0.902,0.324,0.172
42:04.6,-0.898,0.32,0.172
42:04.6,-0.902,0.316,0.176
42:04.6,-0.906,0.305,0.176
42:04.6,-0.91,0.301,0.18
42:04.6,-0.918,0.293,0.18
42:04.7,-0.914,0.289,0.184
42:04.7,-0.914,0.277,0.188
42:04.7,-0.918,0.27,0.188
42:04.7,-0.922,0.27,0.184
42:04.7,-0.926,0.273,0.18
42:04.7,-0.934,0.273,0.18
42:04.7,-0.926,0.285,0.18
42:04.7,-0.926,0.297,0.176
42:04.7,-0.922,0.305,0.176
42:04.7,-0.918,0.313,0.176
42:04.8,-0.914,0.316,0.18
42:04.8,-0.91,0.316,0.18
42:04.8,-0.914,0.309,0.176
42:04.8,-0.914,0.305,0.176
42:04.8,-0.91,0.301,0.176
42:04.8,-0.906,0.297,0.176
42:04.8,-0.906,0.293,0.18
42:04.8,-0.914,0.293,0.176
42:04.8,-0.918,0.289,0.184
42:04.8,-0.918,0.277,0.184
42:04.9,-0.914,0.281,0.184
42:04.9,-0.914,0.285,0.18
42:04.9,-0.918,0.285,0.18
42:04.9,-0.926,0.285,0.18
42:04.9,-0.93,0.289,0.176
42:04.9,-0.93,0.293,0.18
42:04.9,-0.926,0.293,0.176
42:04.9,-0.926,0.293,0.176
42:04.9,-0.926,0.301,0.18
42:04.9,-0.926,0.309,0.188
42:05.0,-0.922,0.309,0.188
42:05.0,-0.918,0.309,0.184
42:05.0,-0.914,0.309,0.176
42:05.0,-0.914,0.305,0.176
42:05.0,-0.922,0.301,0.176
42:05.0,-0.922,0.305,0.176
42:05.0,-0.918,0.301,0.176
42:05.0,-0.91,0.297,0.176
42:05.0,-0.91,0.293,0.176
42:05.1,-0.91,0.293,0.176
42:05.1,-0.91,0.285,0.18
42:05.1,-0.91,0.281,0.18
42:05.1,-0.918,0.281,0.191
42:05.1,-0.914,0.281,0.191
42:05.1,-0.922,0.281,0.184
42:05.1,-0.922,0.285,0.184
42:05.1,-0.914,0.289,0.188
42:05.1,-0.918,0.293,0.184
42:05.1,-0.918,0.293,0.188
42:05.1,-0.918,0.301,0.18
42:05.2,-0.922,0.305,0.184
42:05.2,-0.918,0.313,0.18
42:05.2,-0.914,0.32,0.176
42:05.2,-0.922,0.32,0.168
42:05.2,-0.918,0.313,0.168
42:05.2,-0.922,0.309,0.172
42:05.2,-0.918,0.301,0.168
42:05.2,-0.918,0.297,0.164
42:05.2,-0.91,0.293,0.168
42:05.2,-0.91,0.273,0.172
42:05.3,-0.914,0.27,0.172
42:05.3,-0.918,0.262,0.176
42:05.3,-0.926,0.258,0.18
42:05.3,-0.926,0.254,0.18
42:05.3,-0.918,0.262,0.195
42:05.3,-0.918,0.258,0.203
42:05.3,-0.914,0.258,0.211
42:05.3,-0.926,0.27,0.207
42:05.3,-0.93,0.281,0.203
42:05.3,-0.93,0.293,0.191
42:05.4,-0.934,0.301,0.188
42:05.4,-0.93,0.309,0.18
42:05.4,-0.926,0.32,0.172
42:05.4,-0.926,0.32,0.16
42:05.4,-0.918,0.324,0.16
42:05.4,-0.914,0.32,0.16
42:05.4,-0.91,0.309,0.164
42:05.4,-0.91,0.293,0.168
42:05.4,-0.91,0.285,0.172
42:05.4,-0.91,0.266,0.184
42:05.5,-0.91,0.254,0.195
42:05.5,-0.914,0.246,0.199
42:05.5,-0.926,0.242,0.203
42:05.5,-0.934,0.242,0.199
42:05.5,-0.945,0.254,0.203
42:05.5,-0.934,0.254,0.203
42:05.5,-0.93,0.27,0.199
42:05.5,-0.93,0.285,0.195
42:05.5,-0.934,0.301,0.191
42:05.5,-0.93,0.313,0.184
42:05.6,-0.918,0.328,0.184
42:05.6,-0.91,0.344,0.176
42:05.6,-0.902,0.355,0.16
42:05.6,-0.906,0.359,0.145
42:05.6,-0.902,0.352,0.141
42:05.6,-0.898,0.336,0.141
42:05.6,-0.898,0.32,0.141
42:05.6,-0.902,0.309,0.145
42:05.6,-0.91,0.289,0.156
42:05.6,-0.914,0.27,0.168
42:05.7,-0.914,0.254,0.168
42:05.7,-0.922,0.238,0.172
42:05.7,-0.93,0.227,0.176
42:05.7,-0.934,0.219,0.176
42:05.7,-0.934,0.219,0.176
42:05.7,-0.93,0.211,0.176
42:05.7,-0.934,0.207,0.176
42:05.7,-0.941,0.195,0.176
42:05.7,-0.949,0.199,0.176
42:05.8,-0.965,0.207,0.176
42:05.8,-0.973,0.207,0.176
42:05.8,-0.973,0.215,0.184
42:05.8,-0.965,0.227,0.195
42:05.8,-0.949,0.242,0.211
42:05.8,-0.934,0.262,0.211
42:05.8,-0.934,0.289,0.211
42:05.8,-0.922,0.313,0.203
42:05.8,-0.91,0.332,0.188
42:05.8,-0.895,0.348,0.176
42:05.8,-0.887,0.367,0.16
42:05.9,-0.883,0.379,0.152
42:05.9,-0.875,0.383,0.145
42:05.9,-0.883,0.375,0.137
42:05.9,-0.891,0.367,0.133
42:05.9,-0.906,0.348,0.137
42:05.9,-0.914,0.328,0.145
42:05.9,-0.918,0.305,0.156
42:05.9,-0.93,0.277,0.168
42:05.9,-0.938,0.258,0.172
42:05.9,-0.941,0.238,0.164
42:06.0,-0.941,0.227,0.172
42:06.0,-0.949,0.223,0.168
42:06.0,-0.953,0.215,0.16
42:06.0,-0.957,0.207,0.164
42:06.0,-0.961,0.215,0.164
42:06.0,-0.949,0.219,0.172
42:06.0,-0.949,0.227,0.176
42:06.0,-0.957,0.234,0.191
42:06.0,-0.957,0.238,0.203
42:06.0,-0.945,0.25,0.219
42:06.1,-0.938,0.262,0.227
42:06.1,-0.926,0.277,0.227
42:06.1,-0.926,0.297,0.219
42:06.1,-0.918,0.305,0.207
42:06.1,-0.906,0.32,0.188
42:06.1,-0.898,0.332,0.176
42:06.1,-0.891,0.34,0.168
42:06.1,-0.895,0.34,0.16
42:06.1,-0.898,0.348,0.148
42:06.1,-0.902,0.344,0.145
42:06.2,-0.906,0.332,0.145
42:06.2,-0.918,0.32,0.152
42:06.2,-0.93,0.305,0.16
42:06.2,-0.934,0.293,0.168
42:06.2,-0.93,0.281,0.168
42:06.2,-0.934,0.277,0.168
42:06.2,-0.938,0.27,0.168
42:06.2,-0.941,0.27,0.16
42:06.2,-0.938,0.266,0.16
42:06.2,-0.93,0.262,0.168
42:06.3,-0.922,0.27,0.172
42:06.3,-0.914,0.277,0.184
42:06.3,-0.914,0.289,0.188
42:06.3,-0.918,0.293,0.195
42:06.3,-0.914,0.297,0.188
42:06.3,-0.91,0.301,0.188
42:06.3,-0.91,0.301,0.191
42:06.3,-0.91,0.301,0.191
42:06.3,-0.918,0.301,0.188
42:06.3,-0.918,0.305,0.184
42:06.4,-0.926,0.301,0.176
42:06.4,-0.93,0.301,0.172
42:06.4,-0.926,0.297,0.168
42:06.4,-0.926,0.297,0.168
42:06.4,-0.922,0.297,0.172
42:06.4,-0.918,0.293,0.172
42:06.4,-0.922,0.289,0.172
42:06.4,-0.918,0.289,0.172
42:06.4,-0.91,0.289,0.172
42:06.4,-0.902,0.285,0.176
42:06.5,-0.902,0.277,0.184
42:06.5,-0.91,0.273,0.188
42:06.5,-0.918,0.273,0.191
42:06.5,-0.926,0.27,0.199
42:06.5,-0.941,0.266,0.203
42:06.5,-0.941,0.266,0.203
42:06.5,-0.941,0.281,0.195
42:06.5,-0.941,0.289,0.199
42:06.5,-0.938,0.301,0.191
42:06.5,-0.934,0.305,0.195
42:06.6,-0.922,0.316,0.195
42:06.6,-0.918,0.313,0.199
42:06.6,-0.914,0.316,0.195
42:06.6,-0.91,0.309,0.199
42:06.6,-0.898,0.309,0.199
42:06.6,-0.887,0.313,0.199
42:06.6,-0.883,0.305,0.199
42:06.6,-0.887,0.297,0.203
42:06.6,-0.883,0.293,0.211
42:06.6,-0.887,0.293,0.215
42:06.7,-0.891,0.293,0.215
42:06.7,-0.887,0.293,0.219
42:06.7,-0.887,0.293,0.211
42:06.7,-0.891,0.293,0.199
42:06.7,-0.902,0.293,0.188
42:06.7,-0.91,0.293,0.172
42:06.7,-0.918,0.293,0.156
42:06.7,-0.926,0.293,0.156
42:06.7,-0.934,0.293,0.152
42:06.7,-0.93,0.293,0.172
42:06.8,-0.926,0.293,0.18
42:06.8,-0.934,0.297,0.195
42:06.8,-0.938,0.293,0.203
42:06.8,-0.938,0.285,0.211
42:06.8,-0.938,0.273,0.219
42:06.8,-0.938,0.273,0.215
42:06.8,-0.938,0.27,0.211
42:06.8,-0.941,0.262,0.211
42:06.8,-0.938,0.262,0.203
42:06.8,-0.926,0.27,0.195
42:06.9,-0.918,0.273,0.191
42:06.9,-0.914,0.285,0.184
42:06.9,-0.91,0.297,0.18
42:06.9,-0.918,0.305,0.172
42:06.9,-0.91,0.316,0.172
42:06.9,-0.902,0.324,0.172
42:06.9,-0.898,0.324,0.18
42:06.9,-0.895,0.328,0.18
42:06.9,-0.891,0.324,0.188
42:06.9,-0.895,0.324,0.195
42:07.0,-0.898,0.316,0.203
42:07.0,-0.902,0.305,0.211
42:07.0,-0.91,0.297,0.219
42:07.0,-0.914,0.293,0.219
42:07.0,-0.926,0.289,0.211
42:07.0,-0.926,0.285,0.207
42:07.0,-0.93,0.289,0.195
42:07.0,-0.93,0.281,0.191
42:07.0,-0.926,0.281,0.191
42:07.0,-0.934,0.273,0.191
42:07.1,-0.938,0.273,0.191
42:07.1,-0.926,0.277,0.195
42:07.1,-0.918,0.285,0.203
42:07.1,-0.91,0.297,0.199
42:07.1,-0.906,0.305,0.203
42:07.1,-0.906,0.309,0.203
42:07.1,-0.906,0.309,0.203
42:07.1,-0.898,0.313,0.195
42:07.1,-0.898,0.32,0.195
42:07.1,-0.895,0.324,0.188
42:07.2,-0.895,0.32,0.188
42:07.2,-0.895,0.324,0.18
42:07.2,-0.895,0.332,0.18
42:07.2,-0.891,0.34,0.176
42:07.2,-0.895,0.352,0.184
42:07.2,-0.891,0.355,0.191
42:07.2,-0.895,0.355,0.191
42:07.2,-0.902,0.352,0.191
42:07.2,-0.906,0.352,0.191
42:07.2,-0.906,0.352,0.191
42:07.3,-0.906,0.348,0.188
42:07.3,-0.906,0.348,0.184
42:07.3,-0.906,0.336,0.184
42:07.3,-0.906,0.332,0.18
42:07.3,-0.91,0.328,0.176
42:07.3,-0.91,0.32,0.184
42:07.3,-0.906,0.316,0.184
42:07.3,-0.906,0.313,0.188
42:07.3,-0.906,0.301,0.188
42:07.3,-0.902,0.309,0.188
